SEQID	Genome size	circ.	Coverage	Completeness	Contamination	classification	simple_classification	Species	Phylum	Genus	5S ribosomal RNA	16S ribosomal RNA	23S ribosomal RNA	# 5S rRNA/16S rRNA / 23S rRNA	Number_of_tRNA	Contigs	Passed_assembly_QC	Assembly_QC_reason	In_bac120_MSA	N_bac120_markers	In_bac120_tree	Tree_exclusion_reason	AntiSMASH_failure	AntiSMASH_OK	GenomeQ	ID	inhibit Enterococcus mundtii DSM 4838	inhibit Enterobacter mori DSM 26271	inhibit Staphylococcus epidermidis AU 24	inhibit Escherichia coli DSM 498	inhibit Pseudomonas putida DSM 6125	inhibit Acinetobacter baylyi DSM 14961	inhibit Staphylococcus aureus DSM 20231
PAY08219.barcode02	4582427	Y	65	100	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis	Bacillota - g__Bacillus	Bacillus paralicheniformis	p__Bacillota	g__Bacillus	7	8	8	7/8/8	24	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode03	4423140	Y	34	100	85.51	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Viridibacillus;s__Viridibacillus arenosi	Bacillota - g__Viridibacillus	Viridibacillus arenosi	p__Bacillota	g__Viridibacillus	17	22	15	17/22/15	26	32	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode04	5320210	Y	49	100	0.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	14	14	14	14/14/14	24	6	TRUE	NA	TRUE	109	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode05	2370304	Y	128	99.92	0.17	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	Bacillota - g__Staphylococcus	Staphylococcus haemolyticus	p__Bacillota	g__Staphylococcus	7	6	6	7/6/6	24	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode06	5308485	Y	50	100	0.86	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	14	14	14	14/14/14	24	3	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode07	7219264	Y	42	99.99	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus	Bacillota - g__Paenibacillus	Paenibacillus amylolyticus	p__Bacillota	g__Paenibacillus	11	12	12	11/12/12	25	1	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode08	2370300	Y	128	99.92	0.04	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	Bacillota - g__Staphylococcus	Staphylococcus haemolyticus	p__Bacillota	g__Staphylococcus	6	6	6	6/6/6	24	2	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode09	5390443	Y	47	100	0.89	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	14	14	14	14/14/14	25	5	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode10	5076000	N	40	100	1.65	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	11	13	12	11/13/12	25	13	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode11	2943220	N	48	100	0.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	13	11	12	13/11/12	24	14	TRUE	NA	TRUE	109	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode12	5425456	N	57	100	0.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia inhibens	Pseudomonadota - g__Serratia	Serratia inhibens	p__Pseudomonadota	g__Serratia	8	7	7	8/7/7	27	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode13	3776671	N	59	100	79.76	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_B;g__Rossellomorea;s__Rossellomorea aquimaris_C	Bacillota - g__Rossellomorea	Rossellomorea aquimaris_C	p__Bacillota	g__Rossellomorea	12	12	12	12/12/12	29	137	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode14	5685758	Y	53	100	0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp.	p__Pseudomonadota	g__Aquipseudomonas	4	4	4	4/4/4	26	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode15	4354207	Y	49	99.94	0.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_B;g__Rossellomorea;s__	Bacillota - g__Rossellomorea	Rossellomorea sp.	p__Bacillota	g__Rossellomorea	10	11	11	10/11/11	26	1	TRUE	NA	TRUE	111	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode16	6278537	Y	48	100	0.56	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas reinekei	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas reinekei	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode17	5360758	Y	54	100	1.28	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_A	Bacillota - g__Peribacillus	Peribacillus simplex_A	p__Bacillota	g__Peribacillus	14	14	14	14/14/14	24	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode18	4901763	N	29	100	2.11	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp026342835	Actinomycetota - g__Streptomyces	Streptomyces sp026342835	p__Actinomycetota	g__Streptomyces	6	6	6	6/6/6	25	11	TRUE	NA	TRUE	109	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode19	7031191	Y	43	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus	Bacillota - g__Paenibacillus	Paenibacillus amylolyticus	p__Bacillota	g__Paenibacillus	12	12	12	12/12/12	25	2	TRUE	NA	TRUE	113	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode20	2113115	Y	115	100	69.78	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus;s__Macrococcus bovicus	Bacillota - g__Macrococcus	Macrococcus bovicus	p__Bacillota	g__Macrococcus	8	7	7	8/7/7	25	32	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode21	5602756	Y	38	100	87.31	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas putida_Y	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas putida_Y	p__Pseudomonadota	g__Aquipseudomonas	19	17	17	19/17/17	26	14	FALSE	contamination>=5;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode22	3947092	N	54	100	75.41	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A nitratireducens	Bacillota - g__Bacillus_A	Bacillus_A nitratireducens	p__Bacillota	g__Bacillus_A	15	17	17	15/17/17	30	65	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode23	5457650	Y	44	100	95.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas baetica_A	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas baetica_A	p__Pseudomonadota	g__Aquipseudomonas	15	13	13	15/13/13	28	4	FALSE	contamination>=5;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode24	5314414	N	33	99.95	0.28	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900116325	Actinomycetota - g__Streptomyces	Streptomyces sp900116325	p__Actinomycetota	g__Streptomyces	6	7	6	6/7/6	26	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode25	5036443	N	34	100	1.11	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	10	12	11	10/12/11	24	18	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode26	3655198	Y	84	99.99	0.17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi	Pseudomonadota - g__Acinetobacter	Acinetobacter baylyi	p__Pseudomonadota	g__Acinetobacter	7	7	7	7/7/7	23	1	TRUE	NA	TRUE	120	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode27	2581743	N	85	100	0.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B mundtii	Bacillota - g__Enterococcus_B	Enterococcus_B mundtii	p__Bacillota	g__Enterococcus_B	5	6	6	5/6/6	25	4	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode28	6185265	Y	48	100	0.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas alloputida	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas alloputida	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode29	5428163	Y	55	100	0.68	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__	Actinomycetota - g__Arthrobacter	Arthrobacter sp.	p__Actinomycetota	g__Arthrobacter	5	5	5	5/5/5	22	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode31	2143639	N	26	99.94	0.65	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas graminis	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas graminis	p__Pseudomonadota	g__Aquipseudomonas	6	5	1	6/5/1	25	6	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode32	135182	N	20	80.85	5.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	2	1	1	2/1/1	23	474	FALSE	completeness<90;contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode33	2382964	N	45	100	2.91	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter luteus_A	Actinomycetota - g__Arthrobacter	Arthrobacter luteus_A	p__Actinomycetota	g__Arthrobacter	5	5	6	5/5/6	22	31	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode34	3160015	N	51	100	1.88	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter sp001422645	Actinomycetota - g__Arthrobacter	Arthrobacter sp001422645	p__Actinomycetota	g__Arthrobacter	5	5	5	5/5/5	23	33	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode35	5428309	N	49	100	2.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia quinivorans	Pseudomonadota - g__Serratia	Serratia quinivorans	p__Pseudomonadota	g__Serratia	8	7	7	8/7/7	28	31	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode36	5768199	Y	49	100	23.06	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas putida_Y	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas putida_Y	p__Pseudomonadota	g__Aquipseudomonas	12	11	11	12/11/11	26	103	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode37	6720938	Y	45	100	0.27	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp.	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	26	2	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode38	6270845	Y	48	100	0.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas rustica	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas rustica	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	26	1	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode39	4643490	Y	67	100	0.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__G047199095;s__G047199095 sp047199095	Pseudomonadota - g__G047199095	G047199095 sp047199095	p__Pseudomonadota	g__G047199095	8	7	7	8/7/7	27	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode40	3815253	N	61	100	0.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	Pseudomonadota - g__Enterobacter	Enterobacter mori	p__Pseudomonadota	g__Enterobacter	7	8	7	7/8/7	27	3	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode41	982097	N	52	99.99	0.04	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	Bacillota - g__Staphylococcus	Staphylococcus epidermidis	p__Bacillota	g__Staphylococcus	2	5	3	2/5/3	24	12	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAY08219.barcode42	5428176	Y	56	100	0.68	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__	Actinomycetota - g__Arthrobacter	Arthrobacter sp.	p__Actinomycetota	g__Arthrobacter	5	5	5	5/5/5	22	1	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode01	81241	N	32	92.74	4.71	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces avidinii	Actinomycetota - g__Streptomyces	Streptomyces avidinii	p__Actinomycetota	g__Streptomyces	1	1	1	1/1/1	22	981	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-14	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode02	20994	N	12	60.38	1.11	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	2	2	1	2/2/1	19	1148	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AL290920-ISP2-15	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode03	971221	N	31	99.89	0.47	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__	Actinomycetota - g__Kitasatospora	Kitasatospora sp.	p__Actinomycetota	g__Kitasatospora	10	7	10	10/7/10	24	58	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-1	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode04	817406	N	34	100	0.97	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces decoyicus	Actinomycetota - g__Streptomyces	Streptomyces decoyicus	p__Actinomycetota	g__Streptomyces	2	7	6	2/7/6	24	40	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-10	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode05	25162	N	32	71.72	2.13	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	3	1	1	3/1/1	23	1263	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AL290920-ISP2-8	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode06	2503130	N	30	100	1.11	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces avidinii	Actinomycetota - g__Streptomyces	Streptomyces avidinii	p__Actinomycetota	g__Streptomyces	3	7	5	3/7/5	22	8	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	AL290920-ISP2-4	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode07	8246393	N	34	99.98	0.51	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__	Actinomycetota - g__Kitasatospora	Kitasatospora sp.	p__Actinomycetota	g__Kitasatospora	9	9	9	9/9/9	24	3	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	AL290920-ISP2-3	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode08	122104	N	29	99.95	3.25	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	1	0	1	1/0/1	22	719	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AL290920-ISP2-7	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode09	120672	N	27	99.93	3.5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces avidinii	Actinomycetota - g__Streptomyces	Streptomyces avidinii	p__Actinomycetota	g__Streptomyces	2	1	1	2/1/1	23	681	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	antismash exited 1 at 2026-08-07T16:45:04+02:00	FALSE	High quality genome	AL290920-ISP2-12	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode10	140986	N	14	99.14	0.71	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__	Actinomycetota - g__Kitasatospora	Kitasatospora sp.	p__Actinomycetota	g__Kitasatospora	1	1	1	1/1/1	25	372	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-9	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode11	21024	N	9	50.07	0.92	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces avidinii	Actinomycetota - g__Streptomyces	Streptomyces avidinii	p__Actinomycetota	g__Streptomyces	2	2	1	2/2/1	14	886	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	AL290920-ISP2-13	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode12	261134	N	36	100	0.25	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp040611295	Actinomycetota - g__Streptomyces	Streptomyces sp040611295	p__Actinomycetota	g__Streptomyces	1	1	1	1/1/1	24	234	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-11	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode13	3621630	Y	82	99.88	0.33	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium sp003234795	Actinomycetota - g__Curtobacterium	Curtobacterium sp003234795	p__Actinomycetota	g__Curtobacterium	4	4	4	4/4/4	23	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	AL290920-TSA-1	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode14	16605	N	29	42.91	0.49	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces virginiae_A	Actinomycetota - g__Streptomyces	Streptomyces virginiae_A	p__Actinomycetota	g__Streptomyces	0	2	1	0/2/1	15	780	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	AL290920-ISP2-16	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode15	818003	N	26	99.98	0.52	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__	Actinomycetota - g__Kitasatospora	Kitasatospora sp.	p__Actinomycetota	g__Kitasatospora	10	10	16	10/10/16	25	62	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AL290920-ISP2-6	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode16	6010523	Y	49	100	0.8	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	13	12	12	13/12/12	25	1	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	ODS-130324-GR16-AC-11	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode17	5377724	N	53	100	0.23	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	14	14	13	14/14/13	24	2	TRUE	NA	TRUE	111	TRUE	NA	NA	TRUE	High quality genome	RIS-030424-Gr5-R2A-4	NA	NA	NA	NA	NA	NA	NA
PBI66098.barcode18	8706	N	14	10.65	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	0	0	0	0/0/0	11	152	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	GHL-280824-Gr7-10%NB-7	NA	NA	NA	NA	NA	NA	NA
